RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31
394999,465,"Portsmouth, OH",msa,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9250.0,9250.0,10000.0,10000.0,10000.0,10000.0,9333.333333333334,9333.333333333334,9333.333333333334,9816.666666666666
394614,466,"Frankfort, KY",msa,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5366.333333333333,5533.0,7033.0,8333.333333333334,9833.333333333334,9683.333333333334,9350.0,8000.0,7933.333333333333,8100.333333333333,9450.333333333334,9067.0,9300.0,9300.0,10066.666666666666,10000.0,10000.0,10000.0,8666.666666666666,8666.666666666666
394744,467,"Key West, FL",msa,FL,29333.333333333332,28333.333333333332,27666.666666666668,24333.333333333332,21466.666666666668,20133.333333333332,21800.0,23000.0,24333.333333333332,22666.666666666668,22666.666666666668,23000.0,24333.333333333332,23333.333333333332,23001.666666666668,23335.0,23001.666666666668,23333.333333333332,23000.0,24666.666666666668,23000.0,23000.0,22166.666666666668,24166.666666666668,24500.0,25000.0,23000.0,21333.333333333332,21333.333333333332,21000.0,21000.0,19816.666666666668,20150.0,21799.166666666668,23149.333333333332,24982.666666666668,26667.0,28500.166666666668,32666.833333333332,31333.333333333332,33166.666666666664,35500.0,,,50083.5,49750.166666666664,49833.5,49666.666666666664,50000.0,53333.333333333336,53333.0,53333.0,49999.666666666664,50000.0,50000.0,48500.0,48200.0,48200.0
395088,469,"Shawnee, OK",msa,OK,4968.166666666667,4938.166666666667,4870.0,4870.0,4900.0,4983.333333333333,4983.333333333333,4943.333333333333,4960.0,4960.0,4933.333333333333,4933.333333333333,4933.333333333333,5000.0,4866.666666666667,4866.666666666667,4700.166666666667,4833.166666666667,4599.833333333333,4741.333333333333,4741.666666666667,4975.0,4983.333333333333,4900.0,4900.0,4250.0,4333.333333333333,,4916.5,4916.5,4916.5,5000.0,5000.0,5000.0,5000.0,5650.0,5666.666666666667,6000.0,6683.333333333333,7000.0,7333.333333333333,7666.666666666667,8664.333333333334,9619.833333333334,7986.5,7838.833333333333,7883.333333333333,9516.666666666666,10000.0,9416.666666666666,7750.0,6416.5,6532.166666666667,6565.5,6265.666666666667,5223.333333333333,5190.0,4823.333333333333
395106,470,"Somerset, PA",msa,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7616.666666666667,10166.666666666666,12250.0,12266.666666666666,11350.0,10016.666666666666,10000.0,10000.0,10000.0,10000.0
394764,471,"Lake City, FL",msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10300.0,10300.0,10000.0,10000.0,10000.0,10000.0,9833.333333333334,9833.333333333334,9833.333333333334,10000.0,10000.0,10333.333333333334,10333.333333333334,12000.0,12333.333333333334,13816.666666666666,12150.0,12650.0,11166.666666666666,11333.333333333334
394699,473,"Huntsville, TX",msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10550.0,10700.0,10466.666666666666,10866.666666666666,11133.333333333334,12783.333333333334,12250.0,13616.666666666666,11966.666666666666,11666.666666666666,10666.666666666666,10666.666666666666,12000.0,12333.333333333334,13999.666666666666,14333.0,14666.333333333334,14666.666666666666,14666.666666666666,13666.666666666666,13666.666666666666,15166.666666666666
394736,474,"Kapaa, HI",msa,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65833.33333333333,49166.666666666664,18333.333333333332,7850.0,9516.666666666666,18683.333333333332,31666.666666666668,55000.0,61000.0,61000.0,67351.66666666667,65601.66666666667
786258,477,"Fort Payne, AL",msa,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10333.333333333334,10333.333333333334,12450.0,12116.666666666666,12133.333333333334,9666.666666666666,9666.666666666666,9650.0,10000.0
394655,478,"Greenwood, SC",msa,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8666.666666666666,8666.666666666666,8666.666666666666,10000.0,10150.0,10150.0,10150.0,10000.0,8666.666666666666,8363.333333333334,6730.0
